12 periodes
2 produits
3 scenarios
3 investissements

stockage 11
vente 50 60
amortissement 15
nb_machines 10

investissement nb_machines capa_unitaire cout cout_prod
1 10 10000 100000 10
2 10 12000 120000 9
3 10 14000 135000 8

periode	produit1 scenario1 .. scenarioN / ... / produit2 scenario1 .. scenarioN
1	A	50000	60000	60000 B	50000	50000	50000
2	A	60000	60000	60000 B	50000	50000	50000
3	A	60000	60000	60000 B	70000	70000	70000
4	A	40000	50000	50000 B	50000	50000	60000
5	A	40000	65000	65000 B	40000	40000	40000
6	A	50000	45000	45000 B	50000	50000	50000
7	A	60000	60000	60000 B	50000	50000	50000
8	A	50000	60000	60000 B	60000	60000	60000
9	A	50000	55000	55000 B	50000	50000	50000
10	A	60000	60000	60000 B	35000	35000	60000
11	A	60000	60000	60000 B	45000	45000	70000
12	A	50000	50000	70000 B	60000	60000	60000
